Model,F1 (caller-only),F1 (+ vitals),Vitals gap (F1)
Logistic Regression,0.7077102204951733,0.7144966720863248,0.006786451591151543
Random Forest,0.6628307750258969,0.6645123384253818,0.0016815633994848866
LightGBM,0.7090895611912736,0.6824931807836708,-0.026596380407602815
Stacking Ensemble,0.722945905818416,0.6978799489144317,-0.025065956903984277
