Model,F1-macro,ROC-AUC (OVR macro),Recall - Critical,Precision - Critical
Stacking Ensemble,0.722945905818416,0.8651731161237649,0.6486486486486487,0.6666666666666666
LightGBM (boosting),0.7090895611912736,0.8702096396624683,0.6486486486486487,0.6
Logistic Regression (baseline),0.7077102204951733,0.8469216633084239,0.6756756756756757,0.625
Random Forest (bagging),0.6628307750258969,0.8601069908347467,0.5945945945945946,0.6666666666666666
